Red.br,Proj.No.,E,PEMi,Size KLOC,ACT_EFFORT,categorical output,shorter convetion for output
1,3,1.0412,1.13751036573174,9.5,31.2,small,S
2,4,1.0412,1.13751036573174,8.4,36,small,S
3,5,1.0412,1.13751036573174,10.6,25.2,small,S
4,6,1.0412,1.13751036573174,2.7,8.4,small,S
5,7,1.0412,1.13751036573174,4.6,10.8,small,S
6,11,1.0568,0.646584839468568,6.5,24,small,S
7,13,1.0568,0.8800917520239,15,36,small,S
8,15,1.0568,0.646584839468568,20,48,small,S
9,19,1.0568,0.646584839468568,20,48,small,S
10,26,1.0568,0.84262464,10,48,small,S
11,33,1.0412,1.13751036573174,200,18,small,S
12,36,1.0568,1.4003847,8,42,small,S
13,39,1.0568,1.273077,8,42,small,S
14,58,1.0412,1.13751036573174,2,8.4,small,S
15,83,1.1363,1.57553802359586,6.5,20.8,small,S
16,100,1.1519,3.67126455130735,6.2,12,small,S
1,1,1.0412,1.13751036573174,33,117.6,medium,M
2,2,1.0412,1.13751036573174,31.1,117.6,medium,M
3,8,1.0412,1.13751036573174,73.3,352.8,medium,M
4,12,1.0568,0.558414179541036,100,360,medium,M
5,14,1.0568,1.33465221061286,100,215,medium,M
6,16,1.0568,1.1961831492,100,360,medium,M
7,17,1.0568,0.815284702129913,150,324,medium,M
8,18,1.0568,0.702462541644864,50,60,medium,M
9,20,1.0568,1.16544921681989,40,60,medium,M
10,21,1.0412,1.13751036573174,50,60,medium,M
11,22,1.0412,1.13751036573174,169,300,medium,M
12,23,1.0412,1.13751036573174,75,120,medium,M
13,24,1.0568,1.02884468544,15,90,medium,M
14,25,1.0568,1.08445791168,38,210,medium,M
15,27,1.0412,1.81982245006837,22.8,70,medium,M
16,28,1.0412,1.81982245006837,68.3,239,medium,M
17,29,1.0412,1.81982245006837,30.6,82,medium,M
18,30,1.0412,1.81982245006837,27.5,62,medium,M
19,31,1.0412,1.81982245006837,35.6,170,medium,M
20,32,1.0412,1.81982245006837,63.5,192,medium,M
21,34,1.0412,1.13751036573174,800,50,medium,M
22,35,1.0412,1.13751036573174,100,60,medium,M
23,37,1.0568,1.273077,24,60,medium,M
24,38,1.0412,0.9497720232,90,444,medium,M
25,40,1.0568,1.41311547,16,114,medium,M
26,45,1.0568,0.836550833069952,79,400,medium,M
27,47,1.0412,0.57803557046508,190,420,medium,M
28,48,1.0412,1.07045406468,130,252,medium,M
29,49,1.0724,1.98309464828799,21,107,medium,M
30,51,1.0724,1.31933769315828,13.6,98.8,medium,M
31,52,1.0724,1.31933769315828,22.7,155,medium,M
32,55,1.0724,1.068010931988,50,370,medium,M
33,57,1.0412,1.36566020442871,0,278,medium,M
34,61,1.1363,1.80837574687945,70,458,medium,M
35,63,0.9724,0.60706639401408,90,162,medium,M
36,64,0.9724,0.60706639401408,40,150,medium,M
37,67,1.1519,1.21170573658489,339,444,medium,M
38,68,0.9724,0.732194919148262,240,192,medium,M
39,70,1.0724,0.728734640702382,151,432,medium,M
40,71,1.0724,0.852619529621787,34,72,medium,M
41,72,1.0724,0.947355032913096,98,300,medium,M
42,73,1.0724,0.947355032913096,85,300,medium,M
43,74,1.0724,0.728734640702382,20,240,medium,M
44,78,1.0724,1.19350540043923,165,97,medium,M
45,79,1.1363,1.27766714163158,60,409,medium,M
46,82,1.1363,2.46129530182753,53,480,medium,M
47,85,1.1363,1.54631332676669,29,124.8,medium,M
48,87,1.1363,2.84210188904353,10,67.7,medium,M
49,88,1.1363,1.57553802359586,64,323.2,medium,M
50,89,1.1363,2.15011186388511,24,430,medium,M
51,95,1.1519,2.5658914926573,8,62.5,medium,M
52,96,1.1519,2.55961024053329,16,127.8,medium,M
53,99,1.1519,3.67126455130735,16.3,480,medium,M
1,41,1.0412,1.70181833807175,191.9,1248,large,L
2,42,1.0412,0.964921073688,302,2400,large,L
3,43,1.0412,1.01745231192,282.1,1368,large,L
4,44,1.0412,1.04464389744,287.7,973,large,L
5,46,1.0724,0.53004598238592,423,2400,large,L
6,50,1.0724,1.31933769315828,81.6,571.4,large,L
7,53,1.0724,1.15105147894737,101,750,large,L
8,54,1.0724,1.068010931988,219,2120,large,L
9,56,1.0412,1.64206797635888,0,1181,large,L
10,59,1.0724,2.74966557619811,980,4560,large,L
11,60,1.1519,0.696363163894322,350,720,large,L
12,62,1.1363,1.80837574687945,271,2460,large,L
13,65,1.1519,1.057838341463,137,636,large,L
14,66,1.1519,1.39829206055454,150,882,large,L
15,69,1.0724,1.04209053620441,144,576,large,L
16,75,1.0724,0.728734640702382,111,600,large,L
17,76,1.0724,1.33387588634164,162,756,large,L
18,77,1.0724,1.36059615650073,352,1200,large,L
19,80,1.1363,1.27766714163158,100,703,large,L
20,81,1.1519,7.40952791716529,32,1350,large,L
21,84,1.1363,2.15011186388511,41,599,large,L
22,86,1.1363,2.15011186388511,75,574.7,large,L
23,91,1.1363,3.54781179338804,165,4178.2,large,L
24,92,1.1363,3.54781179338804,65,1772.5,large,L
25,93,1.1363,3.54781179338804,70,1645.9,large,L
26,94,1.1363,4.60686008992178,50,1924.5,large,L
27,97,1.1675,3.99740582881174,7.25,648,large,L
28,98,1.1363,3.54781179338804,233,8211,large,L
